[2021-04-27 16:09:38.400892]	Получены данные b'\xf9\xabW\n' 
[2021-04-27 16:09:38.400892]	Получено число: 173517817 
[2021-04-27 16:09:39.421892]	Получены данные b'\xdf\xabW\n' 
[2021-04-27 16:09:39.422902]	Получено число: 173517791 
[2021-04-27 16:09:40.429892]	Получены данные b'\xfb\xabW\n' 
[2021-04-27 16:09:40.430893]	Получено число: 173517819 
[2021-04-27 16:09:41.454893]	Получены данные b'\xdd\xabW\n' 
[2021-04-27 16:09:41.454893]	Получено число: 173517789 
[2021-04-27 16:09:42.472893]	Получены данные b'\xe6\xa9W\n' 
[2021-04-27 16:09:42.472893]	Получено число: 173517286 
[2021-04-27 16:09:43.498891]	Получены данные b'\xe6\xa9W\n' 
[2021-04-27 16:09:43.498891]	Получено число: 173517286 
[2021-04-27 16:09:44.516918]	Получены данные b'\xe8\xa9W\n' 
[2021-04-27 16:09:44.517893]	Получено число: 173517288 
[2021-04-27 16:09:45.542893]	Получены данные b'\xe4\xa9W\n' 
[2021-04-27 16:09:45.543933]	Получено число: 173517284 
[2021-04-27 16:09:46.566893]	Получены данные b'\xea\xa9W\n' 
[2021-04-27 16:09:46.566893]	Получено число: 173517290 
[2021-04-27 16:09:47.596411]	Получены данные b'\xe2\xa9W\n' 
[2021-04-27 16:09:47.597411]	Получено число: 173517282 
[2021-04-27 16:09:48.622410]	Получены данные b'\xec\xa9W\n' 
[2021-04-27 16:09:48.622410]	Получено число: 173517292 
[2021-04-27 16:09:49.644409]	Получены данные b'\xe0\xa9W\n' 
[2021-04-27 16:09:49.645410]	Получено число: 173517280 
[2021-04-27 16:09:50.670474]	Получены данные b'\xee\xa9W\n' 
[2021-04-27 16:09:50.671412]	Получено число: 173517294 
[2021-04-27 16:09:51.690408]	Получены данные b'\xde\xa9W\n' 
[2021-04-27 16:09:51.691410]	Получено число: 173517278 
[2021-04-27 16:09:52.712750]	Получены данные b'\xf0\xa9W\n' 
[2021-04-27 16:09:52.712750]	Получено число: 173517296 
[2021-04-27 16:09:53.728750]	Получены данные b'\xdc\xa9W\n' 
[2021-04-27 16:09:53.729751]	Получено число: 173517276 
[2021-04-27 16:09:54.756753]	Получены данные b'\xf2\xa9W\n' 
[2021-04-27 16:09:54.756753]	Получено число: 173517298 
[2021-04-27 16:09:55.774749]	Получены данные b'\xda\xa9W\n' 
[2021-04-27 16:09:55.774749]	Получено число: 173517274 
[2021-04-27 16:09:56.798369]	Получены данные b'\xf4\xa9W\n' 
[2021-04-27 16:09:56.799400]	Получено число: 173517300 
[2021-04-27 16:09:57.818394]	Получены данные b'\xd8\xa9W\n' 
[2021-04-27 16:09:57.818394]	Получено число: 173517272 
[2021-04-27 16:09:58.839167]	Получены данные b'\xf6\xa9W\n' 
[2021-04-27 16:09:58.839167]	Получено число: 173517302 
[2021-04-27 16:09:59.865167]	Получены данные b'\xd6\xa9W\n' 
[2021-04-27 16:09:59.865167]	Получено число: 173517270 
[2021-04-27 16:10:00.887192]	Получены данные b'\xf8\xa9W\n' 
[2021-04-27 16:10:00.888169]	Получено число: 173517304 
[2021-04-27 16:10:01.911180]	Получены данные b'\xeb\xaaW\n' 
[2021-04-27 16:10:01.911180]	Получено число: 173517547 
[2021-04-27 16:10:02.930168]	Получены данные b'\xeb\xaaW\n' 
[2021-04-27 16:10:02.930168]	Получено число: 173517547 
[2021-04-27 16:10:03.957169]	Получены данные b'\xe9\xaaW\n' 
[2021-04-27 16:10:03.958170]	Получено число: 173517545 
[2021-04-27 16:10:04.979167]	Получены данные b'\xed\xaaW\n' 
[2021-04-27 16:10:04.979167]	Получено число: 173517549 
[2021-04-27 16:10:06.009169]	Получены данные b'\xe7\xaaW\n' 
[2021-04-27 16:10:06.009169]	Получено число: 173517543 
[2021-04-27 16:10:07.030173]	Получены данные b'\xef\xaaW\n' 
[2021-04-27 16:10:07.031168]	Получено число: 173517551 
[2021-04-27 16:10:08.051168]	Получены данные b'\xe5\xaaW\n' 
[2021-04-27 16:10:08.051168]	Получено число: 173517541 
[2021-04-27 16:10:09.081170]	Получены данные b'\xf1\xaaW\n' 
[2021-04-27 16:10:09.082169]	Получено число: 173517553 
[2021-04-27 16:10:10.109169]	Получены данные b'\xe3\xaaW\n' 
[2021-04-27 16:10:10.109169]	Получено число: 173517539 
[2021-04-27 16:10:11.131167]	Получены данные b'\xf3\xaaW\n' 
[2021-04-27 16:10:11.131167]	Получено число: 173517555 
[2021-04-27 16:10:12.157170]	Получены данные b'h\xabW\n' 
[2021-04-27 16:10:12.158169]	Получено число: 173517672 
[2021-04-27 16:10:13.175168]	Получены данные b'.\xabW\n' 
[2021-04-27 16:10:13.175168]	Получено число: 173517614 
[2021-04-27 16:10:14.203169]	Получены данные b'.\xabW\n' 
[2021-04-27 16:10:14.204202]	Получено число: 173517614 
[2021-04-27 16:10:15.239169]	Получены данные b'0\xabW\n' 
[2021-04-27 16:10:15.239169]	Получено число: 173517616 
[2021-04-27 16:10:16.265167]	Получены данные b',\xabW\n' 
[2021-04-27 16:10:16.265167]	Получено число: 173517612 
[2021-04-27 16:10:17.287169]	Получены данные b'2\xabW\n' 
[2021-04-27 16:10:17.287169]	Получено число: 173517618 
[2021-04-27 16:10:18.320228]	Получены данные b'*\xabW\n' 
[2021-04-27 16:10:18.324169]	Получено число: 173517610 
[2021-04-27 16:10:19.351169]	Получены данные b'4\xabW\n' 
[2021-04-27 16:10:19.352168]	Получено число: 173517620 
[2021-04-27 16:10:20.375189]	Получены данные b'(\xabW\n' 
[2021-04-27 16:10:20.376168]	Получено число: 173517608 
[2021-04-27 16:10:21.401169]	Получены данные b'6\xabW\n' 
[2021-04-27 16:10:21.401169]	Получено число: 173517622 
[2021-04-27 16:10:22.423168]	Получены данные b'&\xabW\n' 
[2021-04-27 16:10:22.424168]	Получено число: 173517606 
[2021-04-27 16:10:23.445169]	Получены данные b'8\xabW\n' 
[2021-04-27 16:10:23.445169]	Получено число: 173517624 
[2021-04-27 16:10:24.467184]	Получены данные b'$\xabW\n' 
[2021-04-27 16:10:24.468184]	Получено число: 173517604 
[2021-04-27 16:10:25.481167]	Получены данные b':\xabW\n' 
[2021-04-27 16:10:25.482169]	Получено число: 173517626 
[2021-04-27 16:10:26.496168]	Получены данные b'"\xabW\n' 
[2021-04-27 16:10:26.496168]	Получено число: 173517602 
[2021-04-27 16:10:27.521168]	Получены данные b'<\xabW\n' 
[2021-04-27 16:10:27.522168]	Получено число: 173517628 
[2021-04-27 16:10:28.565168]	Получены данные b' \xabW\n' 
[2021-04-27 16:10:28.566168]	Получено число: 173517600 
[2021-04-27 16:10:29.593168]	Получены данные b'>\xabW\n' 
[2021-04-27 16:10:29.593168]	Получено число: 173517630 
[2021-04-27 16:10:30.624168]	Получены данные b'\x1e\xabW\n' 
[2021-04-27 16:10:30.624168]	Получено число: 173517598 
[2021-04-27 16:10:31.644168]	Получены данные b'@\xabW\n' 
[2021-04-27 16:10:31.645168]	Получено число: 173517632 
[2021-04-27 16:10:32.661250]	Получены данные b'\x1c\xabW\n' 
[2021-04-27 16:10:32.662180]	Получено число: 173517596 
[2021-04-27 16:10:33.671468]	Получены данные b'\x08\xabW\n' 
[2021-04-27 16:10:33.672475]	Получено число: 173517576 
[2021-04-27 16:10:34.689481]	Получены данные b'\x08\xabW\n' 
[2021-04-27 16:10:34.690480]	Получено число: 173517576 
[2021-04-27 16:10:35.720527]	Получены данные b'\xfe\xaaW\n' 
[2021-04-27 16:10:35.721522]	Получено число: 173517566 
[2021-04-27 16:10:36.741496]	Получены данные b'\xfe\xaaW\n' 
[2021-04-27 16:10:36.742439]	Получено число: 173517566 
[2021-04-27 16:10:37.763489]	Получены данные b'\x00\xabW\n' 
[2021-04-27 16:10:37.763489]	Получено число: 173517568 
[2021-04-27 16:10:38.784541]	Получены данные b'\x04\xabW\n' 
[2021-04-27 16:10:38.785541]	Получено число: 173517572 
[2021-04-27 16:10:39.809639]	Получены данные b'\x04\xabW\n' 
[2021-04-27 16:10:39.809639]	Получено число: 173517572 
[2021-04-27 16:10:40.827413]	Получены данные b'\x02\xabW\n' 
[2021-04-27 16:10:40.827413]	Получено число: 173517570 
[2021-04-27 16:10:41.853429]	Получены данные b'\x06\xabW\n' 
[2021-04-27 16:10:41.853429]	Получено число: 173517574 
[2021-04-27 16:10:42.875429]	Получены данные b'\x01\xabW\n' 
[2021-04-27 16:10:42.875429]	Получено число: 173517569 
[2021-04-27 16:10:43.893700]	Получены данные b'\xff\xaaW\n' 
[2021-04-27 16:10:43.893700]	Получено число: 173517567 
[2021-04-27 16:10:44.916715]	Получены данные b'\xfd\xaaW\n' 
[2021-04-27 16:10:44.917715]	Получено число: 173517565 
[2021-04-27 16:10:45.940716]	Получены данные b'\xfb\xaaW\n' 
[2021-04-27 16:10:45.941717]	Получено число: 173517563 
[2021-04-27 16:10:46.965825]	Получены данные b'\x01\xabW\n' 
