[2021-04-27 17:43:10.496965]	Отправка числа: 1056964603 
[2021-04-27 17:43:10.724016]	Получен ответ: b'N' 
[2021-04-27 17:43:10.724965]	Отправка числа: 1056964597 
[2021-04-27 17:43:10.987964]	Получен ответ: b'N' 
[2021-04-27 17:43:10.987964]	Отправка числа: 1056964604 
[2021-04-27 17:43:11.246964]	Получен ответ: b'N' 
[2021-04-27 17:43:11.247964]	Отправка числа: 1056964596 
[2021-04-27 17:43:11.487964]	Получен ответ: b'N' 
[2021-04-27 17:43:11.488963]	Отправка числа: 1056964605 
[2021-04-27 17:43:11.715965]	Получен ответ: b'N' 
[2021-04-27 17:43:11.716964]	Отправка числа: 1056964595 
[2021-04-27 17:43:11.951965]	Получен ответ: b'N' 
[2021-04-27 17:43:11.951965]	Отправка числа: 1056964606 
[2021-04-27 17:43:12.181078]	Получен ответ: b'N' 
[2021-04-27 17:43:12.182077]	Отправка числа: 1056964594 
[2021-04-27 17:43:12.403965]	Получен ответ: b'N' 
[2021-04-27 17:43:12.404964]	Отправка числа: 1056964607 
[2021-04-27 17:43:12.630964]	Получен ответ: b'N' 
[2021-04-27 17:43:12.631964]	Отправка числа: 1056964593 
[2021-04-27 17:43:12.879963]	Получен ответ: b'N' 
[2021-04-27 17:43:12.880964]	Отправка числа: 1056964608 
[2021-04-27 17:43:13.124970]	Получен ответ: b'N' 
[2021-04-27 17:43:13.125965]	Отправка числа: 1056964592 
[2021-04-27 17:43:13.486963]	Получен ответ: b'N' 
[2021-04-27 17:43:13.487964]	Отправка числа: 1056964609 
[2021-04-27 17:43:13.958964]	Получен ответ: b'N' 
[2021-04-27 17:43:13.959965]	Отправка числа: 1056964591 
[2021-04-27 17:43:14.327965]	Получен ответ: b'N' 
[2021-04-27 17:43:14.328965]	Отправка числа: 1056964610 
[2021-04-27 17:43:14.739969]	Получен ответ: b'N' 
[2021-04-27 17:43:14.740966]	Отправка числа: 1056964590 
[2021-04-27 17:43:15.212963]	Получен ответ: b'N' 
[2021-04-27 17:43:15.214965]	Отправка числа: 1056964611 
[2021-04-27 17:43:15.485031]	Получен ответ: b'N' 
[2021-04-27 17:43:15.485968]	Отправка числа: 1056964589 
[2021-04-27 17:43:15.710964]	Получен ответ: b'N' 
[2021-04-27 17:43:15.710964]	Отправка числа: 1056964612 
[2021-04-27 17:43:16.084015]	Получен ответ: b'N' 
[2021-04-27 17:43:16.084015]	Отправка числа: 1056964588 
[2021-04-27 17:43:16.317963]	Получен ответ: b'N' 
